skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
System administration, English, Windows, Linux, German;;0;none;0.82;0.82;;0;firewall, ids, ips, iso27001, linux, security operations, siem, windows, zero trust;project management;;Bachelor's;-;1;firewall, ids, ips, iso27001, linux, security operations, siem, windows, zero trust;project management;;;13;Systems Engineer Security (m/w/d);Weingarten;1303004.0;INFODAS;4;EUR;;;;;3.5;2025-10-02T00:00:00;;;Weingarten;North Rhine-Westphalia;Germany;50.933594;6.961899;Thorsten Ecke | Lutz Franken | Carsten Schulz;Köln, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1974.0;Unknown;Security;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;;
IT, Cybersecurity, Project leadership, German;;0;none;0.83;0.83;;0;cybersecurity;flexibility, leadership;;-;-;1;cybersecurity;flexibility, leadership;;;14;IT Security / IT-Sicherheitsbeauftragter (m/w/d) in Dresden;Sachsen;3880326.0;WT Energiesysteme GmbH;39;EUR;;;;;5.0;2025-09-28T00:00:00;Full-time;;;;Germany;51.0;9.0;;Riesa, Deutschland;Energie- & Versorgungswirtschaft;Energie, Bergbau, Versorgungswirtschaft;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2002.0;Unknown;Security;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, IT, SIEM, German;;0;none;0.82;0.82;;0;siem, zero trust;;;Associate;-;1;siem, zero trust;;;;15;IT Infrastructure Security Engineer (m/w/d);Hagen;667915.0;Grafton Deutschland;27;EUR;;;;;3.6;2025-09-10T00:00:00;Full-time;;Hagen;North Rhine-Westphalia;Germany;51.360172;7.467406;;Amsterdam, Niederlande;Personalberatung;Personalwesen;25 bis 100 Millionen $ (USD);1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;Security;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
Cloud computing, Cybersecurity;;0;none;0.82;0.82;;0;cloud computing, cloud security, cybersecurity, information security;flexibility, innovation;;-;-;1;cloud computing, cloud security, cybersecurity, information security;flexibility, innovation;;;16;IT-Security Architect (m/w/d);Weingarten;934296.0;DEVK Versicherungen;5;EUR;;;;;3.7;2025-10-01T00:00:00;Full-time, Part-time;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;Gottfried Rüßmann;Köln, Deutschland;Versicherungen;Versicherungswesen;Unbekannt/Nicht zutreffend;5.001 bis 10.000 Mitarbeiter;Selbstständig;1886.0;Unknown;Management;Unknown;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
Military, Computer networking, Network engineering;;0;none;0.75;0.75;;0;ccna, comptia security+, less, network security, networking, requests, tls;accountability, collaboration, communication, innovation, organization;bachelor;Bachelor's;5;1;ccna, comptia security+, less, network security, networking, requests, tls;accountability, collaboration, communication, innovation, organization;;;17;Wireless Network Engineer;Wiesbaden;18661.0;General Dynamics Information Technology;39;EUR;;;;;4.0;2025-09-28T00:00:00;Full-time;;Wiesbaden;Hessen;Germany;50.0817;8.239138;Amy Gilliland;Falls Church, Vereinigte Staaten von Amerika;IT-Kundenbetreuung;Informationstechnologie;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;1996.0;Unknown;Systems & Embedded;J;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;;
CI/CD, Kubernetes, Google Cloud Platform, AWS, Docker, Cybersecurity, Python, SDLC;;0;none;0.85;0.85;;0;application security, aws, ci/cd, cybersecurity, devsecops, docker, gcp, kubernetes, owasp, python, software engineering, sonarqube;ownership;;Bachelor's;-;1;application security, aws, ci/cd, cybersecurity, devsecops, docker, gcp, kubernetes, owasp, python, software engineering, sonarqube;ownership;;;18;Cyber Security Engineer (m/w/d);Neckarsulm;10042042.0;Schwarz IT;4;EUR;;;;;4.0;2025-10-02T00:00:00;Full-time;;Neckarsulm;Baden-Württemberg;Germany;49.190147;9.223944;;Neckarsulm, Deutschland;;;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;;Unknown;Security;Unknown;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;;
CI/CD, Azure, PCI, C#, Java, C++, C, Software development, Computer skills, Cybersecurity, Leadership, Python, SDLC;;0;none;0.85;0.85;;0;azure, c#, c++, ci/cd, cybersecurity, devops, devsecops, iso27001, java, measures, owasp, pci dss, python, qa, reporting, security architecture, soc 2, software engineering;collaboration, communication, cross-functional collaboration, initiative, innovation, leadership, responsibility, strategic thinking;master;Master's;-;1;azure, c#, c++, ci/cd, cybersecurity, devops, devsecops, iso27001, java, measures, owasp, pci dss, python, qa, reporting, security architecture, soc 2, software engineering;collaboration, communication, cross-functional collaboration, initiative, innovation, leadership, responsibility, strategic thinking;;;19;Computer scientist as Software Engineer (m/f/d);München;9849.0;Giesecke+Devrient Currency Technology GmbH;27;EUR;;;;;3.6;2025-09-09T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;Dr. Ralf Wintergerst;München, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;1852.0;Unknown;Software Engineer;J;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;;
Sales, English, Cloud development, Cybersecurity, Python, PowerShell, Pre-sales, Marketing, German;;0;none;0.83;0.83;;0;bash, cloud security, cybersecurity, edr, powershell, python, security operations, siem, soar, threat detection, xdr;;;-;-;1;bash, cloud security, cybersecurity, edr, powershell, python, security operations, siem, soar, threat detection, xdr;;;;20;Cyber Security Engineer (m/w/d);Weingarten;11854.0;q.beyond AG;6;EUR;;;;;3.6;2025-09-30T00:00:00;;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;Thies Rixen, Nora Wolters;Köln, Deutschland;IT-Kundenbetreuung;Informationstechnologie;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Aktiengesellschaft;1997.0;Unknown;Security;J;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;;
Cybersecurity;;0;none;0.82;0.82;;0;cybersecurity, penetration testing, security architecture, security testing, vulnerability scanning;autonomous, collaboration, communication, creativity, cross-functional collaboration, innovation, integrity, problem solving;;-;-;1;cybersecurity, penetration testing, security architecture, security testing, vulnerability scanning;autonomous, collaboration, communication, creativity, cross-functional collaboration, innovation, integrity, problem solving;;;21;Senior Cyber Security Engineer;Oberding;9885995.0;ARX Robotics GmbH;19;EUR;;;;;5.0;2025-09-17T00:00:00;Full-time;;Oberding;Bayern;Germany;48.322655;11.845524;;Oberding, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;
CI/CD, Git, Docker, C, Scrum, Linux, Python;;0;none;0.82;0.82;;0;bash, ci/cd, docker, git, kanban, linux, python, scrum;;;Bachelor's;-;1;bash, ci/cd, docker, git, kanban, linux, python, scrum;;;;22;Embedded System Developer (m/w/d);Mainz;1303004.0;INFODAS;11;EUR;;;;;3.5;2025-09-25T00:00:00;;;Mainz;Rheinland-Pfalz;Germany;50.00196;8.271855;Thorsten Ecke | Lutz Franken | Carsten Schulz;Köln, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1974.0;Unknown;Systems & Embedded;J;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;;
Microsoft Windows Server, Power BI, Microsoft SQL Server, Windows, Systems engineering, SharePoint, PowerShell;;0;none;0.8;0.8;;0;foundation, itil, less, power bi, powershell, sql server, statistics, windows, windows server;attention to detail, innovation, leadership;bachelor;Bachelor's;8;1;foundation, itil, less, power bi, powershell, sql server, statistics, windows, windows server;attention to detail, innovation, leadership;;;23;SharePoint System Engineer;Wiesbaden;18661.0;General Dynamics Information Technology;0;EUR;;;;;4.0;2025-10-06T00:00:00;Full-time;;Wiesbaden;Hessen;Germany;50.0817;8.239138;Amy Gilliland;Falls Church, Vereinigte Staaten von Amerika;IT-Kundenbetreuung;Informationstechnologie;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;1996.0;Unknown;Systems & Embedded;J;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;;
IT, Cybersecurity, Leadership;;0;none;0.85;0.85;;0;cis benchmarks, cissp, comptia security+, cybersecurity, mitre att&ck;flexibility, leadership, mentoring;;Bachelor's;-;1;cis benchmarks, cissp, comptia security+, cybersecurity, mitre att&ck;flexibility, leadership, mentoring;;;24;Senior IT-Security Engineer / Consultant (m/w/d) in der IT-Beratung;Essen;5882227.0;carmasec GmbH & Co. KG;431;EUR;ANNUAL;66400.0;78200.0;90000.0;-0.100000001;2025-10-01T00:00:00;Full-time, Part-time;;Essen;North Rhine-Westphalia;Germany;51.455845;7.012583;;Essen, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Security;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
English, Linux, German;;0;none;0.8;0.8;;0;application security, linux, oscp, owasp, penetration testing, security testing, vulnerability assessment;;;Associate;-;1;application security, linux, oscp, owasp, penetration testing, security testing, vulnerability assessment;;;;25;Penetration Tester / Ethical Hacker / Security Tester (m/w/d);Weingarten;1303004.0;INFODAS;14;EUR;;;;;3.5;2025-09-22T00:00:00;;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;Thorsten Ecke | Lutz Franken | Carsten Schulz;Köln, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;1974.0;Unknown;Security;J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;;
Operating systems, Windows, Java, C++, IT, VMWare, Linux, Python, German;;0;none;0.8;0.8;;0;c++, hyper-v, java, linux, python, unix, vmware, windows;;;Associate;-;1;c++, hyper-v, java, linux, python, unix, vmware, windows;;;;26;IT-Security Engineer (m/w/d);Kiel;601093.0;FERCHAU GmbH;279;EUR;;;;;3.4;2025-10-01T00:00:00;Full-time;;Kiel;Schleswig-Holstein;Germany;54.321774;10.13727;Alexander Schulz;Gummersbach, Deutschland;Personalberatung;Personalwesen;500 Millionen bis 1 Milliarde $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;1966.0;Unknown;Security;N;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;;
TensorFlow, Azure, Kubernetes, AWS, Docker, Machine learning, Forecasting, Natural language processing, Cybersecurity, Maven, AI, Python, Analytics;ai, forecasting, machine learning, natural language processing, tensorflow;1;applied_ai;0.92;0.92;Python, TensorFlow, PyTorch, scikit-learn, Kubeflow, MLOps, Advana, AWS GovCloud;1;aws, azure, cybersecurity, data governance, data science, docker, kubeflow, kubernetes, machine learning, maven, mlops, nlp, predictive analytics, python, pytorch, scikit-learn, statistics, tensorflow;decision making, innovation, passion;master;Master's;5;1;aws, azure, cybersecurity, data governance, data science, docker, kubeflow, kubernetes, machine learning, maven, mlops, nlp, predictive analytics, python, pytorch, scikit-learn, statistics, tensorflow;decision making, innovation, passion;;;27;Sr. Data Scientist (Kaiserslautern, Germany);Kaiserslautern;158377.0;JANSON;130;EUR;;;;;3.3;2025-09-30T00:00:00;Full-time;;Kaiserslautern;Rheinland-Pfalz;Germany;49.44299;7.770765;;Manassas, Vereinigte Staaten von Amerika;Werbung & Öffentlichkeitsarbeit;Medien & Kommunikation;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Data & AI;J;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;;
Customer service, Cybersecurity;;0;none;0.85;0.85;;0;cybersecurity;collaboration, communication, customer service;;-;-;1;cybersecurity;collaboration, communication, customer service;;;28;Technical Engineer;Frankfurt am Main;8706884.0;Pavion;55;EUR;ANNUAL;45000.0;55000.0;65000.0;3.7;2025-09-13T00:00:00;Full-time;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433; Joseph Oliveri;Chantilly, Vereinigte Staaten von Amerika;Sicherheit & Zivilschutz;Management & Beratung;500 Millionen bis 1 Milliarde $ (USD);1.001 bis 5.000 Mitarbeiter;Privatunternehmen;1969.0;Unknown;Software Engineer;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
5G, English, Microsoft Office, Network engineering, German, 4G/LTE;;0;none;0.85;0.85;;0;safe, scrum;flexibility, innovation;;Bachelor's;-;1;safe, scrum;flexibility, innovation;;;29;Systemingenieur TETRA & Netzwerk (d/m/w) für AIRBUS Secure Land Communications;Ulm;1420155.0;SimpleXX GmbH;4;EUR;;;;;5.0;2025-10-02T00:00:00;Full-time, Contract;;Ulm;Baden-Württemberg;Germany;48.398453;9.990402;;Hamburg, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Unbekannt;;Unknown;Security;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Computer science, Power BI, SSRS, Tableau, SQL, AWS, Scala, Scripting, Agile, S3, Apache, Redshift, Python;;0;none;0.83;0.83;;0;agile, apache, aws, business intelligence, dashboards, data analytics, data architecture, data warehouses, etl, less, power bi, predictive analytics, pyspark, python, redshift, rest, s3, scala, software engineering, sql, storage, tableau;innovation;;Bachelor's;3;1;agile, apache, aws, business intelligence, dashboards, data analytics, data architecture, data warehouses, etl, less, power bi, predictive analytics, pyspark, python, redshift, rest, s3, scala, software engineering, sql, storage, tableau;innovation;;;30;Cloud Data Engineer;Wiesbaden;18661.0;General Dynamics Information Technology;74;EUR;;;;;4.0;2025-09-24T00:00:00;Full-time;;Wiesbaden;Hessen;Germany;50.0817;8.239138;Amy Gilliland;Falls Church, Vereinigte Staaten von Amerika;IT-Kundenbetreuung;Informationstechnologie;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Tochtergesellschaft oder Geschäftsbereich;1996.0;Unknown;DevOps & Cloud;J;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
Azure, Kubernetes, AWS, Terraform, GitHub, Cybersecurity, GitLab, Python;;0;none;0.83;0.83;;0;aws, aws solutions architect, az-305, azure, bash, cloud security, cybersecurity, devops, github, gitlab, kubernetes, python, terraform;flexibility, innovation, mentoring;;-;-;1;aws, aws solutions architect, az-305, azure, bash, cloud security, cybersecurity, devops, github, gitlab, kubernetes, python, terraform;flexibility, innovation, mentoring;;;31;(Senior) Cloud Engineer Microsoft Azure (m/w/d) in der IT-Beratung;Weingarten;5882227.0;carmasec GmbH & Co. KG;431;EUR;ANNUAL;57200.0;73600.0;90000.0;-0.100000001;2025-10-01T00:00:00;Full-time, Part-time;;Weingarten;Nordrhein-Westfalen;Germany;50.933594;6.961899;;Essen, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;DevOps & Cloud;Unknown;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;;
