desc_tier_llm,salary_mid,experience_min_llm,edulevel_llm,state,sector
none,80035,3,Bachelor's,Ohio,Manufacturing
none,105000,3,Bachelor's,Unknown,Healthcare
none,102635,5,Associate,Virginia,Information Technology
none,130000,4,Bachelor's,Unknown,"Arts, Entertainment & Recreation"
none,160000,2,-,California,Information Technology
none,83748,2,Bachelor's,Missouri,Information Technology
ai_integration,174850,8,-,Unknown,Information Technology
none,137500,8,Bachelor's,Maryland,Information Technology
none,117500,2,-,Minnesota,Human Resources & Staffing
none,105000,2,-,Unknown,Human Resources & Staffing
none,72160,3,-,Texas,Media & Communication
none,135000,3,Bachelor's,California,Unknown
applied_ai,97243,,Bachelor's,Alabama,Financial Services
none,137500,3,Bachelor's,California,Unknown
applied_ai,140000,,Bachelor's,California,Information Technology
none,110000,2,-,Virginia,Unknown
none,90000,3,Bachelor's,Illinois,Real Estate
none,130213,5,Bachelor's,Alabama,Financial Services
none,95500,7,-,Ohio,Information Technology
ai_integration,135000,3,-,Tennessee,Information Technology
applied_ai,155000,7,Bachelor's,Texas,Information Technology
ai_integration,100052,2,Bachelor's,Georgia,Media & Communication
none,149100,,-,Florida,Management & Consulting
none,120000,3,-,Illinois,Unknown
none,98100,2,-,New York State,Information Technology
none,118850,5,-,New Jersey,Insurance
none,111658,,Bachelor's,Ohio,Manufacturing
none,132500,2,-,Texas,Retail & Wholesale
none,121500,8,Bachelor's,Illinois,Healthcare
none,92087,1,-,Georgia,Financial Services
none,93000,,Bachelor's,New York State,Manufacturing
none,105000,,-,Connecticut,Unknown
ai_integration,89498,6,-,South Carolina,Retail & Wholesale
ai_integration,100000,3,Bachelor's,Colorado,Information Technology
none,69926,3,Bachelor's,Arkansas,Telecommunications
none,119302,10,Bachelor's,Ohio,Management & Consulting
none,145000,5,Bachelor's,New Jersey,Unknown
none,87500,,-,Unknown,Unknown
none,97699,3,Bachelor's,Georgia,Financial Services
ai_integration,152000,5,-,Massachusetts,Pharmaceutical & Biotechnology
none,100000,2,-,Unknown,"Construction, Repair & Maintenance Services"
none,91200,3,Bachelor's,Unknown,Healthcare
none,119319,,-,Texas,Information Technology
ai_integration,90000,3,-,Illinois,Unknown
none,130000,5,-,Georgia,Financial Services
none,88000,,Bachelor's,Texas,Information Technology
none,140810,5,-,Missouri,Insurance
ai_integration,94742,4,Bachelor's,Unknown,Unknown
none,110889,8,-,Ohio,Information Technology
ai_integration,165000,3,-,New York State,Personal Consumer Services
none,93307,2,-,Colorado,Unknown
ai_integration,165100,5,-,Unknown,Information Technology
none,110500,4,Bachelor's,New Jersey,Insurance
none,125000,,-,Georgia,Media & Communication
ai_integration,142500,2,-,New York State,Nonprofit & NGO
none,82500,1,-,New York State,Unknown
none,125000,5,Bachelor's,Unknown,Information Technology
ai_integration,150950,6,Bachelor's,Illinois,Agriculture
none,135000,4,Bachelor's,Unknown,Information Technology
ai_integration,122500,2,-,California,Financial Services
none,193750,4,Bachelor's,California,Information Technology
none,87840,8,Bachelor's,Utah,Financial Services
none,144350,5,Bachelor's,Ohio,Management & Consulting
none,95000,6,Bachelor's,Georgia,Financial Services
none,86766,,Bachelor's,Texas,Manufacturing
ai_integration,145000,3,Bachelor's,Unknown,Information Technology
none,108000,2,-,Virginia,Aerospace & Defense
none,90000,2,-,Unknown,Human Resources & Staffing
ai_integration,106000,2,-,Virginia,Financial Services
ai_integration,147149,4,Bachelor's,Massachusetts,Information Technology
none,107500,2,Bachelor's,Unknown,Unknown
ai_integration,110000,5,-,Unknown,Nonprofit & NGO
none,114596,,-,Texas,Information Technology
none,96826,6,-,Delaware,Information Technology
ai_integration,150000,1,-,California,Unknown
ai_integration,128700,2,-,Illinois,Information Technology
none,105000,4,-,Texas,Healthcare
ai_integration,144200,5,Bachelor's,Unknown,Insurance
none,117500,5,Bachelor's,Unknown,Aerospace & Defense
none,120000,3,Bachelor's,New York State,"Energy, Mining & Utilities"
ai_integration,86309,6,-,Kansas,Unknown
none,165000,,Bachelor's,California,Unknown
ai_integration,99200,2,High School,Minnesota,Healthcare
ai_integration,147500,7,-,Colorado,Unknown
none,175000,3,Bachelor's,New York State,Unknown
applied_ai,96200,5,Bachelor's,Unknown,Financial Services
none,99451,5,Bachelor's,Utah,Information Technology
none,145000,5,Bachelor's,California,Insurance
none,160950,7,Bachelor's,Virginia,Aerospace & Defense
none,142300,10,Bachelor's,Florida,Financial Services
none,105987,,-,Texas,Information Technology
none,112628,,-,Arizona,Financial Services
none,102672,5,Bachelor's,Florida,Unknown
none,90000,0,Bachelor's,Maryland,Information Technology
none,127049,3,Bachelor's,Ohio,Manufacturing
none,109034,4,Bachelor's,Ohio,Government & Public Administration
none,110000,4,Bachelor's,California,Pharmaceutical & Biotechnology
ai_integration,147515,,-,Texas,Information Technology
ai_integration,170500,5,-,Wisconsin,Media & Communication
ai_integration,125000,4,Bachelor's,California,Information Technology
none,112244,,-,Iowa,Pharmaceutical & Biotechnology
ai_integration,137893,5,Bachelor's,Tennessee,Healthcare
ai_integration,105000,,-,Unknown,Unknown
ai_integration,131950,5,Bachelor's,Texas,Information Technology
none,116699,3,Bachelor's,California,Manufacturing
applied_ai,200000,,-,California,Unknown
applied_ai,152929,0,Bachelor's,California,Information Technology
none,107600,3,Bachelor's,Iowa,Insurance
none,137500,3,Bachelor's,Florida,Education
none,105000,5,-,Virginia,Unknown
none,113000,2,-,California,Financial Services
applied_ai,145000,3,-,California,Unknown
none,125498,,Bachelor's,California,Unknown
applied_ai,94326,5,-,Ohio,Retail & Wholesale
applied_ai,98328,,Bachelor's,Michigan,Media & Communication
none,112500,1,Bachelor's,Arizona,Nonprofit & NGO
applied_ai,105000,3,-,Illinois,Unknown
ai_integration,187950,6,Bachelor's,Utah,Information Technology
none,117000,,-,New York State,Media & Communication
ai_integration,135000,5,-,Illinois,Unknown
ai_integration,157469,2,-,Unknown,Information Technology
applied_ai,165000,,-,Unknown,Information Technology
none,82500,3,High School,Florida,Insurance
applied_ai,137375,2,-,California,Information Technology
none,160000,4,Bachelor's,California,Unknown
none,87500,5,-,Illinois,Information Technology
none,161259,8,Bachelor's,Rhode Island,Financial Services
ai_integration,153893,6,Bachelor's,Maryland,Pharmaceutical & Biotechnology
applied_ai,130000,,-,California,Information Technology
ai_integration,124020,5,Bachelor's,Massachusetts,Aerospace & Defense
none,155000,,-,Texas,Retail & Wholesale
none,90000,3,Bachelor's,Florida,Personal Consumer Services
ai_integration,161000,4,-,Unknown,Insurance
ai_integration,155000,0,-,California,Information Technology
ai_integration,114858,4,-,Virginia,Information Technology
ai_integration,119500,2,-,Oregon,Information Technology
ai_integration,145000,3,-,California,Unknown
none,69799,2,-,Ohio,Unknown
none,153000,3,Bachelor's,Washington State,Financial Services
none,81900,2,High School,Arizona,Healthcare
none,111500,5,Bachelor's,Florida,Unknown
none,191500,3,-,California,Information Technology
none,200000,5,-,New Jersey,Financial Services
ai_integration,104285,5,-,Illinois,Information Technology
none,155000,5,-,Unknown,Information Technology
ai_integration,117864,4,-,California,Unknown
none,96725,3,-,Massachusetts,Information Technology
ai_integration,156890,5,Bachelor's,Texas,Manufacturing
none,86477,2,Bachelor's,North Carolina,Financial Services
none,96947,7,Bachelor's,Georgia,Unknown
ai_integration,92500,3,-,Maryland,Government & Public Administration
ai_integration,113062,2,-,California,Unknown
ai_integration,142500,4,Bachelor's,Unknown,Unknown
none,110000,,-,Unknown,Information Technology
ai_integration,154000,5,-,California,Media & Communication
applied_ai,180000,,-,Unknown,Information Technology
none,115000,5,Bachelor's,Unknown,Information Technology
none,83999,5,Bachelor's,Ohio,Nonprofit & NGO
none,93736,3,-,Texas,Information Technology
applied_ai,158000,2,Bachelor's,Georgia,Information Technology
none,92587,,Bachelor's,Virginia,Information Technology
none,200000,5,-,Unknown,Unknown
ai_integration,100500,4,-,Georgia,Financial Services
ai_integration,130000,4,-,Unknown,Unknown
none,153000,7,-,Utah,Information Technology
none,87592,,-,Pennsylvania,Unknown
none,175000,10,Bachelor's,Unknown,Information Technology
ai_integration,188100,,Bachelor's,Washington State,Information Technology
none,109183,,-,Oregon,Unknown
ai_integration,158693,,-,California,Unknown
none,95000,,Bachelor's,Pennsylvania,Manufacturing
none,110698,6,Bachelor's,Tennessee,Healthcare
none,125000,8,-,Oregon,Information Technology
ai_integration,147500,2,-,California,Unknown
none,133900,5,Bachelor's,Unknown,Financial Services
none,109351,5,Bachelor's,Florida,Financial Services
none,100000,10,Bachelor's,Unknown,Unknown
ai_integration,120000,3,Bachelor's,Unknown,Unknown
none,165000,2,-,California,Manufacturing
none,187950,2,Bachelor's,California,Information Technology
ai_integration,177500,7,-,New York State,Information Technology
none,107151,5,-,Virginia,"Construction, Repair & Maintenance Services"
none,127500,3,Bachelor's,Unknown,Unknown
none,140000,7,Bachelor's,Unknown,Information Technology
applied_ai,105000,12,-,Unknown,Insurance
none,101569,3,Bachelor's,Massachusetts,Unknown
none,125000,4,Bachelor's,Colorado,Aerospace & Defense
applied_ai,165000,,-,California,Unknown
none,101321,,Bachelor's,Illinois,Information Technology
applied_ai,152929,0,Bachelor's,California,Information Technology
ai_integration,155000,5,Bachelor's,California,Information Technology
none,128922,5,Bachelor's,Pennsylvania,Real Estate
none,121281,,-,Wyoming,Unknown
none,189520,7,Bachelor's,Illinois,Healthcare
none,177500,5,Bachelor's,Texas,Information Technology
none,118209,5,-,Unknown,Education
none,108631,2,-,Illinois,Media & Communication
none,161597,7,-,Texas,Healthcare
ai_integration,180000,,-,California,Unknown
none,80584,5,-,Texas,Retail & Wholesale
none,105000,3,Bachelor's,Louisiana,Information Technology
applied_ai,65701,3,-,Kansas,Unknown
ai_integration,100000,,-,Unknown,Unknown
applied_ai,183598,7,Bachelor's,Connecticut,Healthcare
none,88137,4,-,Illinois,Information Technology
none,140000,14,Bachelor's,Maryland,Unknown
none,110000,,-,California,Unknown
none,117500,3,-,New York State,Retail & Wholesale
none,112000,1,Bachelor's,California,Unknown
none,154000,4,-,California,Information Technology
none,105217,6,Bachelor's,Florida,Restaurants & Food Service
none,113008,,Bachelor's,Georgia,Information Technology
none,145000,1,Bachelor's,California,Aerospace & Defense
none,159750,2,Bachelor's,California,Telecommunications
none,79630,3,-,Missouri,Retail & Wholesale
ai_integration,170000,5,-,Texas,Unknown
ai_integration,174000,3,-,New York State,Education
ai_integration,75495,,-,Virginia,Unknown
none,122073,,-,North Carolina,Financial Services
none,150000,4,-,California,Healthcare
applied_ai,150000,4,-,California,Unknown
none,129000,5,Bachelor's,Unknown,Restaurants & Food Service
none,62649,3,Bachelor's,Wyoming,"Energy, Mining & Utilities"
none,117500,4,-,Unknown,Manufacturing
none,145000,4,Bachelor's,Unknown,Unknown
ai_integration,132072,,-,Washington State,Education
ai_integration,145000,3,-,California,Education
none,103870,5,-,Maryland,Information Technology
applied_ai,132235,5,-,Massachusetts,Information Technology
ai_integration,105000,2,-,Unknown,Unknown
none,79630,3,-,Missouri,Retail & Wholesale
ai_integration,68940,5,-,Michigan,Information Technology
none,90000,6,Bachelor's,Minnesota,Financial Services
none,200000,5,Bachelor's,Unknown,Unknown
none,81490,,-,Pennsylvania,Information Technology
none,110716,3,-,Washington State,Information Technology
none,170000,7,-,Illinois,"Construction, Repair & Maintenance Services"
ai_integration,110000,1,-,Unknown,Media & Communication
none,105000,,Bachelor's,New Jersey,Unknown
none,86771,3,Bachelor's,Texas,Information Technology
none,206622,7,-,Unknown,Pharmaceutical & Biotechnology
ai_integration,225000,,-,Unknown,Management & Consulting
none,108790,5,-,California,Financial Services
none,105000,3,Bachelor's,Unknown,Information Technology
none,62500,0,Bachelor's,Indiana,Unknown
ai_integration,292500,4,-,Unknown,Management & Consulting
applied_ai,146000,3,-,Utah,Unknown
none,91004,2,Bachelor's,Alabama,Unknown
none,136529,5,-,Maine,Information Technology
none,97817,8,Bachelor's,Alabama,Aerospace & Defense
none,79794,1,Bachelor's,Iowa,Healthcare
none,61465,3,Bachelor's,Georgia,Unknown
none,120000,,-,Idaho,Information Technology
ai_integration,135000,2,Bachelor's,Arkansas,Retail & Wholesale
ai_integration,137989,,-,Illinois,Information Technology
none,163550,5,Bachelor's,California,Information Technology
none,180000,,-,Maryland,Aerospace & Defense
none,90722,3,-,California,Information Technology
none,169167,,-,California,Unknown
ai_integration,231004,8,-,Texas,Information Technology
applied_ai,175000,,-,New York State,Information Technology
none,107500,3,-,Unknown,Unknown
none,170150,1,-,California,Real Estate
none,150000,8,-,New York State,Retail & Wholesale
none,123208,2,Bachelor's,California,Unknown
none,119000,,-,Illinois,Manufacturing
ai_integration,103310,5,Bachelor's,Georgia,Retail & Wholesale
none,92072,5,Bachelor's,Texas,"Energy, Mining & Utilities"
applied_ai,154543,,-,California,Restaurants & Food Service
none,197500,3,-,California,Unknown
none,160000,3,-,California,Unknown
none,106242,,-,Colorado,Information Technology
none,112490,3,Bachelor's,Texas,Real Estate
none,132500,5,-,Texas,Information Technology
ai_integration,139500,2,-,Texas,Information Technology
none,77500,3,Bachelor's,Nebraska,Aerospace & Defense
applied_ai,213350,7,-,Unknown,Information Technology
ai_integration,225000,4,-,California,Unknown
none,128268,8,Bachelor's,Ohio,Financial Services
none,217500,4,-,California,Unknown
applied_ai,135000,3,-,Unknown,Information Technology
ai_integration,202700,5,-,Minnesota,Information Technology
ai_integration,134835,3,-,California,Healthcare
none,111220,,-,North Carolina,Unknown
none,126786,5,Bachelor's,Arkansas,Information Technology
none,185650,4,-,New York State,Information Technology
ai_integration,188100,2,Bachelor's,Washington State,Information Technology
ai_integration,89192,7,-,Unknown,Unknown
none,118663,5,Bachelor's,Florida,Media & Communication
none,140000,,-,Virginia,Information Technology
none,106802,,-,North Carolina,Information Technology
applied_ai,101667,2,Bachelor's,California,Unknown
ai_integration,137500,3,-,Unknown,Human Resources & Staffing
applied_ai,82944,2,-,New York State,Pharmaceutical & Biotechnology
none,89421,,-,Texas,Unknown
ai_integration,157500,3,-,California,Information Technology
none,157590,5,Bachelor's,Connecticut,Healthcare
none,106830,,-,Michigan,Human Resources & Staffing
none,196600,1,Bachelor's,Washington State,Aerospace & Defense
none,127622,5,-,Florida,Personal Consumer Services
none,112500,5,-,Unknown,Information Technology
none,101680,5,-,Maryland,Information Technology
ai_integration,132500,5,Bachelor's,California,"Energy, Mining & Utilities"
none,187911,5,Master's,Unknown,Information Technology
none,135000,5,Bachelor's,California,Financial Services
none,162500,5,Bachelor's,Unknown,Healthcare
none,78290,,Bachelor's,North Carolina,Unknown
ai_integration,112191,5,-,Massachusetts,Pharmaceutical & Biotechnology
applied_ai,155000,3,-,New York State,Information Technology
none,89933,4,Bachelor's,Texas,Unknown
none,97039,2,Bachelor's,Texas,Information Technology
ai_integration,95722,2,-,Texas,Insurance
ai_integration,112500,3,Bachelor's,California,Information Technology
ai_integration,135000,6,-,New Jersey,Media & Communication
none,117500,3,Bachelor's,Texas,Financial Services
applied_ai,225000,5,-,California,Unknown
none,170850,3,Bachelor's,California,Manufacturing
none,131811,,Bachelor's,Georgia,Insurance
none,132307,10,High School,Texas,Manufacturing
applied_ai,103130,5,Bachelor's,Texas,Information Technology
none,138197,5,Bachelor's,California,Unknown
none,150510,6,Bachelor's,North Carolina,Financial Services
none,95000,1,Bachelor's,Unknown,Information Technology
none,185000,,-,California,Aerospace & Defense
none,97500,1,Bachelor's,Arizona,Unknown
applied_ai,103931,3,Bachelor's,Virginia,Information Technology
none,101212,2,Bachelor's,Washington State,Financial Services
applied_ai,135000,5,Bachelor's,Unknown,"Construction, Repair & Maintenance Services"
ai_integration,150000,3,-,California,Unknown
applied_ai,135000,5,Bachelor's,Unknown,Financial Services
none,123548,7,Bachelor's,Virginia,Real Estate
none,83880,4,Bachelor's,Texas,Insurance
none,107775,5,Bachelor's,Illinois,Information Technology
none,124969,5,Bachelor's,Georgia,Financial Services
none,118157,5,-,Texas,Information Technology
none,120000,3,Bachelor's,Unknown,Unknown
none,160000,5,-,Unknown,Unknown
ai_integration,105110,4,Bachelor's,Florida,Information Technology
ai_integration,187950,5,Bachelor's,California,Information Technology
none,200000,7,-,Unknown,Healthcare
none,128100,5,-,Virginia,Information Technology
none,97500,,-,Alabama,Unknown
none,105258,,Bachelor's,Virginia,Aerospace & Defense
applied_ai,140564,1.5,-,California,Unknown
none,99444,2,Bachelor's,California,Unknown
none,84515,2,Bachelor's,Virginia,Information Technology
none,93283,,-,Utah,Information Technology
none,96865,5,Bachelor's,Florida,Unknown
none,113708,4,-,California,Media & Communication
none,159500,2,Bachelor's,California,Information Technology
none,158646,,-,California,Unknown
none,96257,5,Bachelor's,Georgia,Unknown
none,107989,,-,Connecticut,Information Technology
ai_integration,140000,5,Bachelor's,Minnesota,Manufacturing
ai_integration,97463,,Bachelor's,Pennsylvania,Unknown
none,95997,8,Bachelor's,North Carolina,Information Technology
none,107790,3,Bachelor's,Georgia,Financial Services
applied_ai,100000,1,-,Pennsylvania,Healthcare
ai_integration,190000,4,-,Unknown,Information Technology
applied_ai,220100,5,-,California,Information Technology
none,145000,5,-,California,Real Estate
none,175000,3,-,Texas,Information Technology
none,129900,5,-,Minnesota,Education
none,100626,6,Bachelor's,Wisconsin,Media & Communication
none,112500,5,-,Minnesota,Information Technology
none,154400,3,Bachelor's,Virginia,Unknown
none,145000,5,Bachelor's,New Jersey,Unknown
none,112500,3,Bachelor's,California,Information Technology
ai_integration,110281,3,-,Texas,Retail & Wholesale
none,145721,,-,California,Unknown
none,143877,2,-,California,Information Technology
none,137500,,-,Unknown,Information Technology
none,114585,7,Bachelor's,Georgia,Management & Consulting
none,102480,3,Bachelor's,Georgia,Information Technology
none,95000,3,Bachelor's,North Carolina,Human Resources & Staffing
ai_integration,140000,7,-,Michigan,Human Resources & Staffing
none,148400,3,-,California,Unknown
ai_integration,175000,2,-,California,Human Resources & Staffing
none,162000,3,-,Unknown,Information Technology
none,121287,5,-,Florida,Unknown
none,115751,,-,California,Unknown
none,152955,5,Bachelor's,Rhode Island,Healthcare
none,107456,,-,Florida,Information Technology
none,89553,,-,Georgia,Information Technology
none,87117,3,-,California,Information Technology
none,164000,5,-,New York State,Financial Services
none,101802,3,Bachelor's,Texas,Healthcare
ai_integration,120000,4,-,Unknown,Management & Consulting
none,165000,5,-,Unknown,Information Technology
none,162500,6,-,Utah,Financial Services
ai_integration,250000,,-,New York State,Unknown
none,91377,3,Bachelor's,Florida,Healthcare
none,142500,2,-,Unknown,Pharmaceutical & Biotechnology
ai_integration,140000,1,Bachelor's,California,Unknown
none,147681,1,Bachelor's,California,Information Technology
none,86985,3,Bachelor's,Tennessee,Healthcare
applied_ai,200000,5,-,California,Unknown
ai_integration,169000,6,Bachelor's,Unknown,Healthcare
ai_integration,135000,1,-,Unknown,Information Technology
none,124644,14,Bachelor's,Maryland,Information Technology
none,75656,5,Bachelor's,Virginia,Unknown
none,165000,3,-,California,Manufacturing
ai_integration,173000,,Bachelor's,California,Information Technology
none,99512,5,Bachelor's,Florida,Manufacturing
ai_integration,137500,5,-,Texas,Unknown
ai_integration,145000,5,Bachelor's,Massachusetts,Education
none,93042,2,-,California,Unknown
none,137500,,-,Texas,Unknown
ai_integration,137500,6,Bachelor's,California,Transportation & Logistics
ai_integration,220000,7,-,New York State,Information Technology
applied_ai,140000,,-,Massachusetts,Unknown
applied_ai,180000,5,-,Colorado,Management & Consulting
none,172393,,-,California,Information Technology
ai_integration,152250,3,-,Illinois,Information Technology
none,125000,5,Bachelor's,Unknown,Unknown
none,190000,5,-,California,Manufacturing
none,100736,8,-,Texas,Unknown
ai_integration,205000,,-,Unknown,Manufacturing
ai_integration,94940,,Bachelor's,Georgia,Unknown
none,88497,4,-,California,Information Technology
none,123916,8,Bachelor's,Texas,Information Technology
applied_ai,102843,,-,Texas,Information Technology
ai_integration,155000,3,-,New York State,Unknown
none,150000,4,-,New York State,Management & Consulting
none,132614,2,-,California,Transportation & Logistics
none,120000,5,-,Unknown,Information Technology
none,104571,5,Bachelor's,California,Unknown
none,91470,4,-,Utah,Nonprofit & NGO
applied_ai,147500,5,-,Unknown,Information Technology
ai_integration,195000,5,-,Illinois,Information Technology
none,143500,7,-,Unknown,Unknown
ai_integration,114900,8,Bachelor's,Alabama,Insurance
none,94230,7,Bachelor's,Indiana,Information Technology
none,147500,4,-,Unknown,Information Technology
ai_integration,155000,5,Bachelor's,California,Transportation & Logistics
none,124595,5,High School,Texas,Information Technology
none,178328,5,-,New York State,Healthcare
none,178500,7,-,California,Insurance
none,188500,5,Bachelor's,California,Information Technology
none,120000,7,Bachelor's,North Carolina,Human Resources & Staffing
none,180000,2,-,California,Unknown
ai_integration,121000,3,Bachelor's,Alabama,Financial Services
none,180000,6,-,Unknown,Information Technology
applied_ai,202500,5,-,California,Manufacturing
applied_ai,116373,2,Bachelor's,California,Education
ai_integration,139061,5,Bachelor's,Texas,Unknown
none,124972,7,-,Hawaii,Unknown
ai_integration,140000,5,Bachelor's,Unknown,Unknown
none,90000,6,-,Unknown,Unknown
none,111384,5,-,Alabama,Retail & Wholesale
applied_ai,163650,5,Bachelor's,California,Financial Services
none,78606,4,-,Alabama,Unknown
none,76007,8,Bachelor's,Ohio,Unknown
none,139043,,-,Texas,Information Technology
none,157500,8,-,Massachusetts,Information Technology
none,165334,5,-,California,Information Technology
none,150000,5,-,Texas,Insurance
applied_ai,177500,6,-,Unknown,Information Technology
none,126517,5,-,Texas,Information Technology
ai_integration,175950,5,-,California,Information Technology
ai_integration,155000,5,-,Unknown,Information Technology
none,147500,5,-,Unknown,Information Technology
none,130023,7,-,Oregon,Insurance
none,160000,5,-,Unknown,Information Technology
none,155000,5,-,Colorado,Unknown
none,105096,3,Bachelor's,Maryland,Human Resources & Staffing
none,150000,4,Bachelor's,California,Human Resources & Staffing
applied_ai,187500,3,-,California,Information Technology
none,83605,2,Bachelor's,Unknown,Insurance
none,95510,,-,Ohio,Aerospace & Defense
none,111500,3,-,Unknown,Information Technology
none,116890,,-,Unknown,Healthcare
none,135000,3,Associate,Unknown,Information Technology
none,136326,,Bachelor's,Unknown,Information Technology
none,65000,0,Bachelor's,Pennsylvania,Information Technology
ai_integration,229000,6,-,Unknown,Information Technology
ai_integration,91737,0,Bachelor's,Hawaii,Aerospace & Defense
none,131100,4,Bachelor's,Unknown,Financial Services
none,115384,0,Bachelor's,Massachusetts,Information Technology
none,118078,0,Bachelor's,Delaware,Management & Consulting
none,122500,5,High School,Unknown,Management & Consulting
none,78875,0,-,Unknown,Healthcare
none,101898,0,-,Texas,Management & Consulting
none,90000,1,Associate,Illinois,Healthcare
none,91621,1,-,Arizona,Information Technology
none,87500,2,-,New Jersey,Media & Communication
none,97500,3,-,Unknown,Financial Services
none,110000,3,Bachelor's,Illinois,Transportation & Logistics
none,131689,,-,Virginia,Information Technology
none,132000,1,-,Unknown,Information Technology
none,109770,,-,Ohio,Aerospace & Defense
none,150000,0,-,Virginia,Management & Consulting
none,168175,5,-,Texas,Information Technology
none,86500,3,Associate,Texas,Retail & Wholesale
ai_integration,112500,2,Bachelor's,Illinois,Financial Services
none,77563,1,Bachelor's,Florida,Aerospace & Defense
none,93174,5,Bachelor's,Illinois,Healthcare
none,125000,4,Bachelor's,Unknown,Information Technology
none,217500,,-,Maryland,Information Technology
